recorded_at,temperature_c,humidity_rh,nh3_ppm,temp_status,humid_status,amonia_status,overall_status,is_anomaly,source
2025-10-20T20:27:00Z,32.26,85.5,9.67,2,1,0,sedang,0,synthetic
2025-10-03T22:43:00Z,29.94,87.85,1.35,1,1,0,bagus,0,synthetic
2025-10-07T16:05:00Z,26.47,84.04,12.68,1,1,0,bagus,0,synthetic
2025-10-06T10:17:00Z,27.5,88.48,12.42,1,1,0,bagus,0,synthetic
2025-11-27T22:57:18Z,32.58,70.6,0.17,2,0,0,buruk,0,real
2025-10-07T06:53:00Z,26.06,88.36,6.24,1,1,0,bagus,0,synthetic
2025-11-27T10:16:03Z,32.67,70.32,0.17,2,0,0,buruk,0,real
2025-10-04T13:26:00Z,28.96,85.07,3.68,1,1,0,bagus,0,synthetic
2025-10-15T01:25:00Z,25.04,87.25,4.05,0,1,0,sedang,0,synthetic
2025-10-04T17:36:00Z,29.73,80.42,1.67,1,1,0,bagus,0,synthetic
2025-10-01T00:24:00Z,27.01,86.49,10.34,1,1,0,bagus,0,synthetic
2025-11-28T10:43:33Z,32.86,70.14,0.22,2,0,0,buruk,0,real
2025-10-07T09:14:00Z,26.52,77.96,5.98,1,1,0,bagus,0,synthetic
2025-10-07T17:22:00Z,28.14,81.01,7.82,1,1,0,bagus,0,synthetic
2025-10-19T07:49:00Z,24.53,85.52,6.6,0,1,0,sedang,0,synthetic
2025-10-05T20:38:00Z,27.79,85.06,7.22,1,1,0,bagus,0,synthetic
2025-11-24T11:43:34Z,31.96,71.75,0.25,2,0,0,buruk,0,real
2025-10-04T18:57:00Z,27.32,85.4,6.39,1,1,0,bagus,0,synthetic
2025-11-25T09:13:01Z,32.24,70.66,0.17,2,0,0,buruk,0,real
2025-11-25T06:59:58Z,32.28,70.81,0.17,2,0,0,buruk,0,real
2025-10-15T19:18:00Z,29.12,60.51,3.57,1,0,0,sedang,0,synthetic
2025-11-28T16:03:40Z,33.03,71.42,0.21,2,0,0,buruk,0,real
2025-10-18T20:14:00Z,28.16,67.38,0.62,1,0,0,sedang,0,synthetic
2025-10-01T23:28:00Z,27.87,81.86,10.78,1,1,0,bagus,0,synthetic
2025-10-20T23:25:00Z,23.79,78.07,0.46,0,1,0,sedang,0,synthetic
2025-10-01T11:44:00Z,27.4,79.23,13.51,1,1,0,bagus,0,synthetic
2025-10-17T02:33:00Z,29.22,93.85,13.69,1,2,0,sedang,0,synthetic
2025-10-06T12:22:00Z,27.54,76.23,12.5,1,1,0,bagus,0,synthetic
2025-10-01T19:04:00Z,27.07,81.99,6.83,1,1,0,bagus,0,synthetic
