ts,time,suhu,rh,nh3,spray_on,reason,anomaly,iso_score,flags
1759082795.266174,2025-09-28T18:06:35.266174+00:00,32.38,73.12,2.86,True,on_by_condition,normal,0.17066534642095482,
1759082855.346147,2025-09-28T18:07:35.346147+00:00,32.31,73.27,2.77,True,stay_on,normal,0.16913923362027905,
1759082915.430428,2025-09-28T18:08:35.430428+00:00,32.2,73.67,2.73,True,stay_on,normal,0.1610648983372182,
1759082975.515218,2025-09-28T18:09:35.515218+00:00,32.34,73.19,2.79,True,stay_on,normal,0.1713793858360434,
1759083035.599849,2025-09-28T18:10:35.599849+00:00,32.4,73.13,2.76,True,stay_on,normal,0.17425219805131864,
1759083095.651251,2025-09-28T18:11:35.651251+00:00,32.42,72.92,2.81,True,stay_on,normal,0.17715688451193046,
1759083155.737108,2025-09-28T18:12:35.737108+00:00,32.52,72.45,2.81,True,stay_on,normal,0.17578789575117548,
1759083215.819584,2025-09-28T18:13:35.819584+00:00,32.42,72.75,2.84,True,stay_on,normal,0.17508855492004743,
1759083275.902572,2025-09-28T18:14:35.902572+00:00,32.41,72.88,2.84,True,stay_on,normal,0.17528238966767312,
1759083335.986079,2025-09-28T18:15:35.986079+00:00,32.34,73.25,2.77,True,stay_on,normal,0.17049583911608068,
1759083396.041636,2025-09-28T18:16:36.041636+00:00,32.41,73.0,2.81,True,stay_on,normal,0.17659726393096448,
1759083456.124261,2025-09-28T18:17:36.124261+00:00,32.34,73.22,2.81,True,stay_on,normal,0.17202125973108628,
1759083516.209072,2025-09-28T18:18:36.209072+00:00,32.34,73.28,2.8,True,stay_on,normal,0.17076008619306127,
1759083576.293889,2025-09-28T18:19:36.293889+00:00,32.35,73.25,2.82,True,stay_on,normal,0.17154209746934512,
1759083636.375701,2025-09-28T18:20:36.375701+00:00,32.34,73.31,2.87,True,stay_on,normal,0.16428403612831283,
1759083696.431555,2025-09-28T18:21:36.431555+00:00,32.45,72.97,2.82,True,stay_on,normal,0.1746537989827413,
1759083756.513908,2025-09-28T18:22:36.513908+00:00,32.38,73.1,2.79,True,stay_on,normal,0.174313411516976,
1759083816.596567,2025-09-28T18:23:36.596567+00:00,32.28,73.34,2.79,True,stay_on,normal,0.16828161122120333,
1759083876.680662,2025-09-28T18:24:36.680662+00:00,32.25,73.26,2.75,True,stay_on,normal,0.16790971479335687,
1759083936.765193,2025-09-28T18:25:36.765193+00:00,32.35,73.17,2.77,True,stay_on,normal,0.17241556321317802,
1759083996.819165,2025-09-28T18:26:36.819165+00:00,32.24,73.13,2.73,True,stay_on,normal,0.16760722593335697,
1759084056.901642,2025-09-28T18:27:36.901642+00:00,32.2,73.45,2.8,True,stay_on,normal,0.16330315398265793,
1759084116.987833,2025-09-28T18:28:36.987833+00:00,32.24,73.3,2.82,True,stay_on,normal,0.1666991257270326,
1759084177.06963,2025-09-28T18:29:37.069630+00:00,32.27,73.15,2.8,True,stay_on,normal,0.17159828452843945,
1759084237.153563,2025-09-28T18:30:37.153563+00:00,32.21,73.34,2.82,True,stay_on,normal,0.16427594931811007,
1759084297.208584,2025-09-28T18:31:37.208584+00:00,32.17,73.46,2.85,True,stay_on,normal,0.15568041915132097,
1759084357.292383,2025-09-28T18:32:37.292383+00:00,32.14,73.26,2.76,True,stay_on,normal,0.1582808509719471,
1759084417.375742,2025-09-28T18:33:37.375742+00:00,32.12,73.48,2.76,True,stay_on,normal,0.15451295014178829,
1759084477.458325,2025-09-28T18:34:37.458325+00:00,32.05,73.64,2.8,True,stay_on,normal,0.14848073637713544,
1759084537.543777,2025-09-28T18:35:37.543777+00:00,32.05,73.67,2.85,True,stay_on,normal,0.14577434377846787,
1759084597.597672,2025-09-28T18:36:37.597672+00:00,32.13,73.46,2.77,True,stay_on,normal,0.15534886650988072,
1759084657.681429,2025-09-28T18:37:37.681429+00:00,32.09,73.59,2.78,True,stay_on,normal,0.14956107997968987,
1759084717.766169,2025-09-28T18:38:37.766169+00:00,32.16,73.33,2.79,True,stay_on,normal,0.15822071877330235,
1759084777.84881,2025-09-28T18:39:37.848810+00:00,32.09,73.42,2.72,True,stay_on,normal,0.1497019939891865,
1759084837.931735,2025-09-28T18:40:37.931735+00:00,32.07,73.47,2.73,True,stay_on,normal,0.1496622903881879,
1759084897.987371,2025-09-28T18:41:37.987371+00:00,32.17,73.33,2.73,True,stay_on,normal,0.15869976391646073,
1759084958.070709,2025-09-28T18:42:38.070709+00:00,32.2,73.18,2.75,True,stay_on,normal,0.1640740610373923,
1759085018.15315,2025-09-28T18:43:38.153150+00:00,32.19,73.23,2.84,True,stay_on,normal,0.16061888152491616,
1759085078.237873,2025-09-28T18:44:38.237873+00:00,32.1,73.39,2.81,True,stay_on,normal,0.15297687105805252,
1759085138.319947,2025-09-28T18:45:38.319947+00:00,32.05,73.64,2.79,True,stay_on,normal,0.1476831590619041,
1759085198.374751,2025-09-28T18:46:38.374751+00:00,32.05,73.71,2.81,True,stay_on,normal,0.14774912098259702,
1759085258.459373,2025-09-28T18:47:38.459373+00:00,32.03,73.61,2.75,True,stay_on,normal,0.1475999676037834,
1759085318.543151,2025-09-28T18:48:38.543151+00:00,32.07,73.58,2.69,True,stay_on,normal,0.1455276145202254,
1759085378.626449,2025-09-28T18:49:38.626449+00:00,32.06,73.63,2.67,True,stay_on,normal,0.14474025650746564,
1759085438.709635,2025-09-28T18:50:38.709635+00:00,32.06,73.58,2.64,True,stay_on,normal,0.1390134119277593,
1759085498.763548,2025-09-28T18:51:38.763548+00:00,32.14,73.34,2.72,True,stay_on,normal,0.1567862032426363,
1759085558.847504,2025-09-28T18:52:38.847504+00:00,32.2,73.08,2.73,True,stay_on,normal,0.16470297757226027,
1759085618.930472,2025-09-28T18:53:38.930472+00:00,32.23,72.98,2.7,True,stay_on,normal,0.16533540182023304,
1759085679.014539,2025-09-28T18:54:39.014539+00:00,32.27,72.94,2.77,True,stay_on,normal,0.17172229191376193,
1759085739.098992,2025-09-28T18:55:39.098992+00:00,32.31,72.72,2.77,True,stay_on,normal,0.17267695171933217,
1759085799.161552,2025-09-28T18:56:39.161552+00:00,32.27,72.7,2.82,True,stay_on,normal,0.17242288708454506,
1759085859.238174,2025-09-28T18:57:39.238174+00:00,32.28,72.79,2.84,True,stay_on,normal,0.17121813841689004,
1759085919.321101,2025-09-28T18:58:39.321101+00:00,32.27,72.78,2.93,True,stay_on,normal,0.16163936609819202,
